type                     	26   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	26   	(null)         	(null)    	<declaration>            	no    	<global_or_not>
----                     	26   	(null)         	(null)    	<declarations>           	no    	<declaration>
type                     	26   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	26   	(null)         	(null)    	<stmts>                  	no    	<declarations>
type                     	27   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	27   	(null)         	(null)    	<declaration>            	no    	<dataType>
----                     	27   	(null)         	(null)    	<dataType>               	no    	<primitiveDatatype>
int                      	27   	TK_INT         	(null)    	<primitiveDatatype>      	yes   	(null)
type                     	27   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
type                     	27   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	27   	(null)         	(null)    	<declaration>            	no    	<global_or_not>
----                     	27   	(null)         	(null)    	<declarations>           	no    	<declaration>
type                     	27   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	26   	(null)         	(null)    	<declarations>           	no    	<declarations>
type                     	28   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	28   	(null)         	(null)    	<declaration>            	no    	<dataType>
----                     	28   	(null)         	(null)    	<dataType>               	no    	<primitiveDatatype>
int                      	28   	TK_INT         	(null)    	<primitiveDatatype>      	yes   	(null)
type                     	28   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
type                     	28   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
:                        	28   	TK_COLON       	(null)    	<global_or_not>          	yes   	(null)
----                     	28   	(null)         	(null)    	<declaration>            	no    	<global_or_not>
:                        	28   	TK_COLON       	(null)    	<global_or_not>          	yes   	(null)
----                     	28   	(null)         	(null)    	<declarations>           	no    	<declaration>
type                     	28   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	27   	(null)         	(null)    	<declarations>           	no    	<declarations>
type                     	29   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	29   	(null)         	(null)    	<declaration>            	no    	<dataType>
----                     	29   	(null)         	(null)    	<dataType>               	no    	<primitiveDatatype>
real                     	29   	TK_REAL        	(null)    	<primitiveDatatype>      	yes   	(null)
type                     	29   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
type                     	29   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	29   	(null)         	(null)    	<declaration>            	no    	<global_or_not>
----                     	29   	(null)         	(null)    	<declarations>           	no    	<declaration>
type                     	29   	TK_TYPE        	(null)    	<declaration>            	yes   	(null)
----                     	28   	(null)         	(null)    	<declarations>           	no    	<declarations>
----                     	29   	(null)         	(null)    	<declarations>           	no    	<declarations>
----                     	30   	(null)         	(null)    	<otherStmts>             	no    	<stmt>
b5                       	30   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	30   	(null)         	(null)    	<assignmentStmt>         	no    	<singleOrRecId>
----                     	30   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
b5                       	30   	TK_ID          	(null)    	<assignmentStmt>         	yes   	(null)
----                     	30   	(null)         	(null)    	<term>                   	no    	<factor>
